"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"GPR182",-0.472269225449523,5.06100069672131,-4.15616075454911,4.47510348697014e-05,0.0178611203562876,1.84874461498362,"Not Significant"
"DMAP1",-0.541057330567084,6.65408168032787,-4.13704066917874,4.83800613866144e-05,0.0187801434547521,1.77995880865728,"Not Significant"
"SFRP4",3.68334934993085,8.45944893442623,4.12912195056727,4.99638153037484e-05,0.0187801434547521,1.75155051965325,"Upregulated"
"DHPS",-0.645390995850621,7.04928413934426,-4.12651179872358,5.0496596920624e-05,0.0187801434547521,1.74219689603185,"Not Significant"
"MOB3C",-0.787763845089902,6.48897844262295,-4.11694990024445,5.24950115630726e-05,0.0188293881917047,1.70797478048026,"Not Significant"
"NUP214",-0.618560567081608,7.91209135245902,-4.1149131293036,5.29303261316557e-05,0.0188293881917047,1.7006939892872,"Not Significant"
"MAF1",-0.521570705394192,6.94182204918033,-4.08693377117152,5.92697817247409e-05,0.020521353034576,1.60099124412499,"Not Significant"
"PRPF19",-0.528873181189488,7.88202602459016,-4.08309253057262,6.01946312429508e-05,0.020521353034576,1.58734901916967,"Not Significant"
"TIMD4",-1.45444894882434,4.45436028688525,-4.05888049997864,6.63482766983699e-05,0.0221576163243291,1.50161465181817,"Downregulated"
"KAT8",-0.460193651452284,6.69183446721311,-4.038272937492,7.20533314386166e-05,0.0235816143132304,1.42899103447913,"Not Significant"
"SERGEF",-0.576639225449516,6.58812393442623,-4.02232299145297,7.67863438029627e-05,0.0245876710774667,1.37300121997016,"Not Significant"
"SARS1",-0.645040525587826,8.47285696721312,-4.01572081205683,7.88307962180052e-05,0.0245876710774667,1.34988149894864,"Not Significant"
"VPS4A",-0.54856051175657,7.27475741803279,-4.01316843819959,7.96349649905729e-05,0.0245876710774667,1.34095234361203,"Not Significant"
"RAB24",-0.611513457814662,7.05115848360656,-4.00544093825526,8.21174857167981e-05,0.024644824487783,1.31394869948303,"Not Significant"
"FAM168B",-0.566597980636237,7.65976172131148,-3.99895592057623,8.42574726987112e-05,0.024644824487783,1.29132175777299,"Not Significant"
"PHF8",-0.518718506224074,7.10760918032787,-3.99554257394574,8.54050349495393e-05,0.024644824487783,1.27942500345781,"Not Significant"
"TUBG1",-0.945913983402487,7.97088610655738,-3.99424774108962,8.58442309828667e-05,0.024644824487783,1.27491434846174,"Not Significant"
"PQBP1",-0.440739363762104,6.9755262295082,-3.9792283443493,9.10981162377683e-05,0.0257022340364628,1.22268591013144,"Not Significant"
"SAP130",-0.542389294605808,7.34464942622951,-3.97004352674588,9.44601061733649e-05,0.0257740763549859,1.19083094398312,"Not Significant"
"HERPUD2",-0.527840788381745,8.26392905737705,-3.96992877332132,9.45028465716912e-05,0.0257740763549859,1.19043335894476,"Not Significant"
"EEF2K",-0.56014466113416,6.96963569672131,-3.96335210205062,9.69832908163612e-05,0.0258322309063837,1.16766394494154,"Not Significant"
"DEXI",-0.664976652835408,7.23899262295082,-3.96103127966372,9.78732776946827e-05,0.0258322309063837,1.15963675733047,"Not Significant"
"OXA1L",-0.664674896265558,8.88986733606557,-3.94981954405242,0.000102283107595288,0.0265676313125285,1.12091563711044,"Not Significant"
"COQ8A",-1.36981739972338,6.83231795081967,-3.94224103265245,0.000105370085355558,0.0267705753474107,1.0947964822385,"Downregulated"
"UCK1",-0.534917399723377,7.11933278688525,-3.93991223907797,0.00010633631126752,0.0267705753474107,1.08677913571415,"Not Significant"
"SYNDIG1L",-0.531080802213,4.47811221311475,-3.93502670855928,0.000108390740513876,0.0268743345116526,1.06997312642192,"Not Significant"
"MRPL20",-0.466912130013833,6.45972192622951,-3.9266151719134,0.000112016460667414,0.0272572942645778,1.04108043817286,"Not Significant"
"TEX261",-0.797464024896264,7.98447086065574,-3.92377452625001,0.000113266683573166,0.0272572942645778,1.03133532606497,"Not Significant"
"CACTIN",-0.485168810511758,6.04930971311475,-3.91199574264926,0.000118593446513279,0.0281255530252653,0.990992774029698,"Not Significant"
"DCAF1",-0.50556668049793,7.73357930327869,-3.89157510405239,0.000128395886933019,0.0295306658693136,0.921302934873082,"Not Significant"
"RANBP10",-0.455372434301528,6.73320307377049,-3.88948620316001,0.0001294408332709,0.0295306658693136,0.914192095615656,"Not Significant"
"SYVN1",-0.877456445366533,7.65712528688525,-3.88850976998323,0.000129932042446259,0.0295306658693136,0.910869359784466,"Not Significant"
"SLC25A38",-0.823845587828494,6.69092032786885,-3.88489677555373,0.000131765025414551,0.0295370256970372,0.898580934214991,"Not Significant"
"TRIM50",-1.12910161825726,5.70097077868852,-3.87480999131391,0.00013701299515489,0.0302983871988462,0.864326957388085,"Downregulated"
